"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,1,2,0,0,0,0,0,1,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,2
21,1,0,1,2,0,1,0,1,3,0,1,0,0,1,2,1,1,0,2,0,1,1,1,1,1,1,1,0,1,1,1,3,0,1,1,1,0,0,0,0,1,2,1,3,3
22,1,1,1,1,0,1,1,5,0,1,1,2,0,0,5,1,3,1,1,1,1,0,0,1,1,1,0,0,1,2,1,2,1,1,1,1,0,1,1,0,1,1,0,2,0
23,2,1,1,3,2,2,2,1,0,1,2,1,0,2,3,2,3,2,4,5,2,4,3,2,1,2,1,3,2,0,2,2,2,1,2,2,0,0,2,4,2,4,1,4,5
24,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,2,1,2
25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,1,1,1,0,1,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
30,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
31,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
42,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0
43,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
64,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
67,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
69,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
70,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
71,0,0,2,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0
72,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0
73,0,1,2,0,4,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0
74,0,0,1,0,3,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0
75,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,1,0,0,0,0,0,4,0,0,1,1,3,0,0,1,0,0
76,0,4,2,0,1,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,1,1,5,0,0,1,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0
77,0,1,2,0,2,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,3,0,5,0,0,1,1,0,0,0,0,0,4,0,0,1,3,2,0,0,3,0,0
78,0,2,1,0,4,0,1,0,0,2,0,0,4,3,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,4,3,1,0,0,1,0,0
79,0,0,3,0,5,0,0,0,0,1,0,0,2,2,0,0,0,2,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,2,0,0,4,5,0,0,0,2,0,0
80,0,1,3,0,3,0,2,0,0,3,0,0,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,1,3,2,1,0,0,3,0,0
81,0,2,1,0,1,0,0,0,0,1,0,0,1,2,3,0,0,3,0,0,0,1,3,2,3,0,0,3,4,0,0,0,0,0,0,0,1,4,1,1,0,0,2,0,0
82,0,3,1,0,0,0,1,0,0,1,0,0,1,0,3,0,0,1,0,0,0,1,3,0,4,0,0,4,2,0,0,3,0,3,2,0,0,6,4,1,0,0,1,0,0
83,0,3,1,0,3,0,1,0,0,4,0,0,3,6,3,0,0,2,0,0,0,0,2,2,1,0,0,3,3,3,0,0,0,1,1,0,4,5,3,1,0,2,1,1,0
84,0,1,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,2,3,0,2,4,2,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
85,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,2,3,0,0,1,0,1,0,0,0,3,1,0,0,0,1,0,0
86,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,2,1,0,1,4,1,1,0,1,0,0,1,0,1,3,3,1,0,1,1,3,0
87,1,0,0,0,0,1,1,0,0,2,1,0,0,1,1,1,0,1,0,0,1,4,3,3,1,1,2,3,2,2,1,2,0,0,0,1,3,2,1,0,1,0,1,3,0
88,2,1,1,1,0,2,3,0,0,2,2,1,0,0,2,2,0,1,0,0,2,2,2,2,1,2,0,1,1,2,2,0,0,0,0,2,3,1,1,0,2,0,2,5,0
89,5,2,0,2,0,5,1,0,1,2,5,4,0,2,2,5,1,0,0,1,5,3,0,2,1,5,2,0,1,2,5,5,0,2,1,5,2,2,1,1,5,2,2,2,2
90,2,0,0,1,1,2,3,0,2,2,2,3,0,2,1,2,0,2,0,1,2,3,0,1,2,2,3,1,0,4,2,1,0,3,0,2,1,0,0,0,2,3,1,1,4
91,3,0,1,3,1,3,3,2,2,2,3,2,0,0,2,3,0,2,0,5,3,1,1,1,0,3,2,1,1,4,3,2,0,1,0,3,2,1,0,0,3,2,0,3,2
92,2,0,0,2,0,2,3,1,4,2,2,4,1,1,2,2,0,1,1,4,2,0,0,1,2,2,1,3,0,1,2,0,1,0,0,2,2,0,0,0,2,2,0,4,2
93,0,0,1,2,1,0,1,3,4,2,0,1,0,1,0,0,0,0,3,4,0,4,0,0,2,0,2,2,0,3,0,2,0,2,1,0,0,1,1,0,0,3,0,2,2
94,1,0,1,1,1,1,4,3,1,1,1,4,0,0,0,1,0,1,0,1,1,2,0,0,3,1,4,0,1,0,1,1,3,3,0,1,2,0,0,0,1,2,0,2,4
95,2,0,2,4,1,2,3,2,1,1,2,1,1,0,1,2,0,1,1,3,2,1,0,1,2,2,2,2,1,3,2,1,6,2,0,2,4,1,2,0,2,1,2,2,5
96,4,1,1,2,2,4,2,4,0,1,4,1,0,0,2,4,2,0,2,4,4,1,2,0,1,4,2,0,0,2,4,2,1,3,0,4,3,0,2,0,4,3,2,1,4
97,3,0,0,0,0,3,2,3,3,2,3,1,1,1,0,3,3,1,6,2,3,0,1,1,3,3,4,1,1,2,3,2,5,1,1,3,2,1,0,1,3,1,1,1,2
98,2,2,0,2,0,2,1,1,2,2,2,0,0,0,1,2,3,0,3,2,2,3,1,1,1,2,0,4,0,1,2,1,2,1,0,2,2,0,1,1,2,1,0,0,6
99,1,0,1,3,0,1,3,1,3,1,1,2,0,0,2,1,5,0,5,1,1,1,0,1,2,1,2,1,0,2,1,0,4,1,0,1,1,1,1,0,1,3,0,1,4
100,0,1,0,2,1,0,3,2,1,0,0,4,0,0,0,0,7,1,2,2,0,1,2,0,3,0,0,2,1,2,0,0,4,0,2,0,0,3,1,0,0,2,0,0,4
101,3,1,1,4,1,3,1,3,2,1,3,1,1,0,1,3,2,1,2,1,3,0,0,1,4,3,0,2,0,0,3,1,6,1,0,3,0,3,1,0,3,2,1,0,4
102,2,0,0,3,2,2,1,3,1,3,2,0,0,0,1,2,2,3,2,3,2,0,0,2,1,2,0,1,0,0,2,2,3,2,0,2,0,1,0,0,2,0,4,0,2
103,2,2,0,2,3,2,2,3,1,0,2,1,0,0,2,2,4,1,1,2,2,1,0,1,2,2,0,1,0,0,2,0,3,2,0,2,0,0,0,0,2,0,3,1,3
104,0,1,0,1,0,0,0,1,1,0,0,1,1,0,3,0,4,1,2,1,0,2,1,0,0,0,1,1,0,2,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1
105,0,0,0,3,2,0,0,3,0,0,0,1,0,0,2,0,1,1,2,1,0,2,0,0,3,0,1,1,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,3
106,1,1,1,1,1,1,1,2,0,1,1,2,1,0,3,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,2,0,0,1,0,1,1,0,1,0,0,0,1
107,0,1,0,1,1,0,1,1,2,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
108,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,2,1,2,1,1,1,0,1,1,1,2,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,3,0
109,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,3,0,1,2,0,0,1,1,3,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1
110,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,2,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2
111,0,1,3,1,2,0,1,0,1,1,0,1,1,0,2,0,4,0,1,2,0,0,0,0,2,0,1,0,1,1,0,3,2,1,0,0,0,0,0,1,0,1,0,1,1
112,1,0,5,2,1,1,0,1,0,2,1,2,2,1,2,1,2,0,1,2,1,2,1,0,4,1,0,0,0,0,1,0,2,0,0,1,1,2,0,2,1,0,2,1,0
113,2,0,3,3,1,2,1,1,2,0,2,1,1,0,1,2,0,0,1,0,2,3,0,0,1,2,0,1,1,1,2,0,1,0,0,2,0,0,1,1,2,0,0,0,1
114,1,0,2,1,1,1,1,1,0,1,1,3,3,0,3,1,2,0,0,1,1,1,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,2,0,1,1,0,0,0,2
115,0,0,1,1,3,0,1,0,1,0,0,1,6,0,3,0,2,1,0,2,0,1,2,1,2,0,1,0,0,1,0,0,1,1,1,0,0,1,0,2,0,0,0,1,1
116,0,0,0,1,1,0,0,1,0,3,0,1,3,0,3,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,1
117,2,1,2,2,0,2,0,0,4,0,2,3,5,0,0,2,1,1,0,1,2,0,0,0,1,2,1,2,0,1,2,2,0,0,1,2,0,2,0,3,2,0,0,0,0
118,1,3,1,0,0,1,0,0,1,1,1,2,3,0,1,1,1,1,1,0,1,1,0,1,2,1,0,1,0,0,1,1,2,1,0,1,1,2,0,1,1,0,1,0,1
119,0,0,2,2,0,0,2,1,2,0,0,2,2,0,0,0,1,0,0,2,0,2,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,0,1,1,3,2
120,1,1,1,1,0,1,0,1,0,0,1,2,2,1,0,1,0,0,0,1,1,0,1,1,1,1,3,0,0,0,1,1,2,1,0,1,0,2,0,0,1,1,0,3,2
121,1,0,1,1,1,1,1,2,0,2,1,0,2,0,1,1,1,0,3,1,1,1,1,1,3,1,1,1,0,1,1,0,3,0,1,1,0,2,1,1,1,0,0,2,2
122,0,2,1,0,0,0,1,2,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,2,2,0,0,0,1,0,0,0,3,0,1,0,0,2,1,0,0,0,0,0,1
123,1,1,0,0,3,1,0,2,1,1,1,1,1,0,1,1,2,0,2,2,1,0,1,0,2,1,2,0,0,1,1,0,1,0,0,1,2,4,0,0,1,0,1,1,2
124,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,2,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,0,1,0,0
125,2,1,1,1,0,2,0,2,0,1,2,1,0,0,0,2,1,0,1,0,2,2,0,0,2,2,1,0,0,0,2,0,1,0,0,2,0,2,0,0,2,0,0,0,3
126,1,1,0,1,0,1,0,2,1,0,1,1,0,0,1,1,0,0,2,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2
127,1,2,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0
128,0,0,1,0,1,0,1,2,3,1,0,0,1,1,0,0,1,0,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2
129,1,0,1,1,1,1,2,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1
130,2,1,2,0,0,2,1,1,0,1,2,2,0,0,1,2,2,0,1,1,2,0,1,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,0,0,2,1,0,3,1
